SaleTransaction{uuid='F558B825-4728-911C-DB73-DB031A6E3F91',timestamp='14/04/2022 04:03:19',type='brazilian',size='P',price='€1.30',offer='',discount='15%',userId=3064,country=ITALY,city='Turin'}
SaleTransaction{uuid='A0E69BC8-25B0-1EA8-2B7F-5D0C7BF07738',timestamp='2022年04月04日 12時13分29秒',type='ブラジル',size='超大',price='¥1000',offer='',discount='',userId=1023,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='25EF49C1-E656-FDE5-048E-D959B3F65916',timestamp='18/04/2022 04:54:44',type='brazilian',size='G',price='€1.30',offer='',discount='',userId=3091,country=ITALY,city='Turin'}
SaleTransaction{uuid='89A99228-D91F-0ABC-4864-514C0AC2CBA1',timestamp='23/04/2022 01:27:47',type='blend',size='M',price='€1.30',offer='',discount='25%',userId=3042,country=ITALY,city='Turin'}
SaleTransaction{uuid='A5E093BB-1042-C76F-DE29-751667A06B7B',timestamp='2022年04月07日 02時10分58秒',type='コロンビア',size='超大',price='¥1000',offer='',discount='30%',userId=1021,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='29C0E96C-13C2-64F4-BB4A-E6614ADFAF75',timestamp='23/04/2022 06:11:22',type='brazilian',size='GG',price='€3',offer='',discount='25%',userId=3046,country=ITALY,city='Turin'}
SaleTransaction{uuid='972489C6-4D5C-3B22-E90D-328B8231A679',timestamp='2022年04月09日 09時04分17秒',type='ブラジル',size='超大',price='¥1000',offer='',discount='',userId=1021,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='9FEC7991-9F56-8338-8F7E-C7B0DD56C70D',timestamp='2022年04月24日 09時50分23秒',type='ブラジル',size='小',price='¥500',offer='sg',discount='',userId=1035,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='C2DEFBE4-5FFF-64A5-37AC-291BC3D51E9B',timestamp='30/04/2022 12:16:37',type='brazilian',size='P',price='€1.30',offer='',discount='',userId=3011,country=ITALY,city='Turin'}
SaleTransaction{uuid='F9F0A201-1EBE-4ACC-D324-2BA341DB2244',timestamp='2022年04月04日 11時33分04秒',type='ブラジル',size='小',price='¥500',offer='ga',discount='20%',userId=1058,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='B0C9B202-5639-5831-04CC-5D4EFB8440F7',timestamp='22/04/2022 03:34:00',type='brazilian',size='GG',price='€3',offer='h&l',discount='30%',userId=3098,country=ITALY,city='Turin'}
SaleTransaction{uuid='CC2435EE-D56B-8FE1-0AB9-0C2FFCDF33A8',timestamp='2022年04月11日 06時42分11秒',type='イタリア',size='大',price='¥800',offer='',discount='',userId=1027,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='979867CE-12EC-1BF9-0445-ED3F6D2B246D',timestamp='2022年04月17日 10時14分01秒',type='ブラジル',size='小',price='¥500',offer='',discount='',userId=1090,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='B36F72C1-7380-3982-8020-6AE5AD4058F9',timestamp='01/04/2022 05:25:23',type='colombian',size='M',price='€1.30',offer='',discount='15%',userId=3019,country=ITALY,city='Turin'}
SaleTransaction{uuid='A9D07A6F-5517-0F35-950C-514CD4FAA837',timestamp='26/04/2022 07:18:06',type='brazilian',size='GG',price='€3',offer='sg',discount='',userId=3069,country=ITALY,city='Turin'}
SaleTransaction{uuid='7E0BFF04-600A-1D31-CF2A-5D1D4583E1F0',timestamp='2022年04月26日 05時18分26秒',type='イタリア',size='大',price='¥800',offer='',discount='25%',userId=1045,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='12EC5548-A550-D6E2-4458-126E950F5706',timestamp='17/04/2022 03:39:27',type='colombian',size='G',price='€1.30',offer='',discount='30%',userId=3021,country=ITALY,city='Turin'}
SaleTransaction{uuid='E12A212F-252C-44EE-B095-D09916AC21C7',timestamp='2022年04月16日 10時05分12秒',type='イタリア',size='大',price='¥800',offer='',discount='',userId=1013,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='FFEC693C-0E36-1BF3-A181-881F5613CB14',timestamp='27/04/2022 12:54:33',type='colombian',size='GG',price='€3',offer='',discount='20%',userId=3051,country=ITALY,city='Turin'}
SaleTransaction{uuid='07D0B8E8-7491-EBD3-FE96-30B6583B8EEA',timestamp='2022年04月25日 07時28分38秒',type='イタリア',size='超大',price='¥1000',offer='gft',discount='25%',userId=1095,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='11A09D9B-1D66-5BC6-C587-A7310DC36C7F',timestamp='14/04/2022 02:38:45',type='brazilian',size='GG',price='€3',offer='sg',discount='',userId=3039,country=ITALY,city='Turin'}
SaleTransaction{uuid='8ABDDC9A-040F-1309-B831-01F25D7E3D1D',timestamp='30/04/2022 06:47:59',type='colombian',size='P',price='€1.30',offer='',discount='25%',userId=3027,country=ITALY,city='Turin'}
SaleTransaction{uuid='A324784A-D8B5-1CED-1D1C-C4EB40F18574',timestamp='30/04/2022 02:42:21',type='brazilian',size='G',price='€1.30',offer='',discount='15%',userId=3004,country=ITALY,city='Turin'}
SaleTransaction{uuid='FE5382B5-A32A-4BF4-726A-2931A66778CA',timestamp='15/04/2022 01:35:37',type='blend',size='GG',price='€3',offer='h&l',discount='',userId=3058,country=ITALY,city='Turin'}
SaleTransaction{uuid='05C24EDA-1F57-3317-4416-5CA1EFCCAA6C',timestamp='19/04/2022 07:34:34',type='blend',size='G',price='€1.30',offer='sg',discount='',userId=3039,country=ITALY,city='Turin'}
SaleTransaction{uuid='0C8AD335-C6C5-2164-1A55-78FF9AFA05DD',timestamp='2022年04月15日 09時37分05秒',type='ブラジル',size='超大',price='¥1000',offer='',discount='',userId=1042,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='B2738E73-D35B-5DC6-B228-5E4189177878',timestamp='23/04/2022 10:36:03',type='colombian',size='GG',price='€3',offer='h&l',discount='',userId=3016,country=ITALY,city='Turin'}
SaleTransaction{uuid='18F58B62-DDFB-AEEE-0995-1CC81E5815C6',timestamp='26/04/2022 10:05:50',type='blend',size='P',price='€1.30',offer='',discount='',userId=3040,country=ITALY,city='Turin'}
SaleTransaction{uuid='C76E5F11-BF2D-DD53-5E50-74734535517A',timestamp='26/04/2022 04:17:22',type='brazilian',size='M',price='€1.30',offer='',discount='',userId=3032,country=ITALY,city='Turin'}
SaleTransaction{uuid='0DCDCE48-F8DC-3BB4-0E02-6E19A7FDCBFC',timestamp='2022年04月25日 06時05分43秒',type='ブレンド',size='中',price='¥600',offer='ga',discount='25%',userId=1048,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='1BF047DA-D249-654A-D878-A328FF512B5A',timestamp='05/04/2022 04:37:53',type='espresso',size='GG',price='€3',offer='',discount='25%',userId=3009,country=ITALY,city='Turin'}
SaleTransaction{uuid='3092D2E9-A62F-BCBD-2A07-E150B6F28703',timestamp='2022年04月29日 04時36分25秒',type='コロンビア',size='大',price='¥800',offer='',discount='',userId=1065,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='90957A21-A911-5A9F-7B40-7246D2E0DDF8',timestamp='09/04/2022 07:32:26',type='blend',size='M',price='€1.30',offer='',discount='15%',userId=3078,country=ITALY,city='Turin'}
SaleTransaction{uuid='0A8B9FB0-7967-0460-27B2-427C05EB0D9D',timestamp='2022年04月01日 05時34分31秒',type='コロンビア',size='中',price='¥600',offer='',discount='',userId=1020,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='9A389350-B88E-23B1-C92D-A923D45D9809',timestamp='22/04/2022 01:14:55',type='blend',size='G',price='€1.30',offer='ga',discount='30%',userId=3041,country=ITALY,city='Turin'}
SaleTransaction{uuid='80F82DDB-34CE-5340-5BA8-0DF12B6DB17C',timestamp='30/04/2022 06:22:28',type='brazilian',size='M',price='€1.30',offer='',discount='',userId=3074,country=ITALY,city='Turin'}
SaleTransaction{uuid='93D41DAB-2F6C-8DC0-4764-CFFAAD4A27F7',timestamp='2022年04月09日 07時22分54秒',type='ブレンド',size='中',price='¥600',offer='gft',discount='30%',userId=1032,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='C0913484-120C-52E7-9A8A-3714CF5752A1',timestamp='19/04/2022 02:23:10',type='blend',size='P',price='€1.30',offer='',discount='',userId=3071,country=ITALY,city='Turin'}
SaleTransaction{uuid='50B0A061-4D94-D66A-9474-7159989703DB',timestamp='05/04/2022 11:22:41',type='blend',size='G',price='€1.30',offer='',discount='',userId=3099,country=ITALY,city='Turin'}
SaleTransaction{uuid='B02BEB30-DD6A-DEC5-11A6-8242E056BF0B',timestamp='03/04/2022 04:29:32',type='brazilian',size='G',price='€1.30',offer='',discount='',userId=3022,country=ITALY,city='Turin'}
SaleTransaction{uuid='EB87D041-20E9-043D-1377-EDDB9E130AA4',timestamp='22/04/2022 10:57:38',type='blend',size='GG',price='€3',offer='gft',discount='',userId=3049,country=ITALY,city='Turin'}
SaleTransaction{uuid='90176763-7ED3-F52C-1348-854BE9F738BB',timestamp='2022年04月04日 02時23分12秒',type='コロンビア',size='中',price='¥600',offer='h&l',discount='',userId=1055,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='4DADDA82-7AA9-C0DB-5FEB-7051450BDA29',timestamp='2022年04月15日 12時26分10秒',type='コロンビア',size='中',price='¥600',offer='',discount='',userId=1056,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='E6CFAE4E-DF55-106D-CDC5-DE143A4DCC9D',timestamp='13/04/2022 09:54:05',type='brazilian',size='M',price='€1.30',offer='h&l',discount='25%',userId=3024,country=ITALY,city='Turin'}
SaleTransaction{uuid='E2FA5E28-6915-CA70-6419-1B335EFD9E81',timestamp='07/04/2022 09:12:22',type='brazilian',size='GG',price='€3',offer='',discount='',userId=3017,country=ITALY,city='Turin'}
SaleTransaction{uuid='B9EBA1D3-8CED-BC9F-E448-50393EFFFC4F',timestamp='2022年04月07日 04時46分03秒',type='イタリア',size='中',price='¥600',offer='',discount='',userId=1036,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='BF57D211-0EF2-6276-F582-E3EEBADA8D10',timestamp='01/04/2022 02:56:59',type='brazilian',size='G',price='€1.30',offer='gft',discount='',userId=3012,country=ITALY,city='Turin'}
SaleTransaction{uuid='DF5A14EB-3196-104A-31F7-8D65C49404E9',timestamp='2022年04月26日 09時07分57秒',type='ブレンド',size='大',price='¥800',offer='gft',discount='30%',userId=1059,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='1F545526-C3DA-73B5-55A4-46E74ED92C69',timestamp='01/04/2022 04:04:11',type='blend',size='GG',price='€3',offer='',discount='',userId=3036,country=ITALY,city='Turin'}
SaleTransaction{uuid='412C11F7-6A38-DFA8-4A82-C9D4667C6431',timestamp='2022年04月04日 10時15分34秒',type='コロンビア',size='超大',price='¥1000',offer='',discount='25%',userId=1005,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='BE4DA21C-A291-9FC9-3657-9E7E014DB6B6',timestamp='2022年04月02日 12時49分20秒',type='コロンビア',size='大',price='¥800',offer='h&l',discount='20%',userId=1095,country=JAPAN,city='Tokyo'}
SaleTransaction{uuid='DD726832-683F-C870-4443-1DFBAF596DA2',timestamp='2022年04月20日 09時15分02秒',type='ブレンド',size='超大',price='¥1000',offer='',discount='25%',userId=1072,country=JAPAN,city='Tokyo'}
